Term,Academic Program,Descr,Student ID,Name,Course Code,Grade,Term GPA,Cumulative GPA,Repeat,Unit Taken
2201,AIE,Artificial Intelligence Engine,300041,James Hall,CSE014,F,1.808,1.808,EXCM,3
2201,AIE,Artificial Intelligence Engine,300041,James Hall,CSE013,D+,1.808,1.808,,2
2201,AIE,Artificial Intelligence Engine,300041,James Hall,LAN112,D,1.808,1.808,,2
2201,AIE,Artificial Intelligence Engine,300041,James Hall,MAT111,F,1.808,1.808,EXCM,3
2201,AIE,Artificial Intelligence Engine,300041,James Hall,MAT123,B,1.808,1.808,,3
2201,AIE,Artificial Intelligence Engine,300041,James Hall,MEC011,D+,1.808,1.808,,3
2201,AIE,Artificial Intelligence Engine,300041,James Hall,PHY212,C,1.808,1.808,,3
2202,AIE,Artificial Intelligence Engine,300041,James Hall,CSE014,D+,2.558,2.253,REPF,3
2202,AIE,Artificial Intelligence Engine,300041,James Hall,CSE113,B+,2.558,2.253,,3
2202,AIE,Artificial Intelligence Engine,300041,James Hall,CSE315,B+,2.558,2.253,,3
2202,AIE,Artificial Intelligence Engine,300041,James Hall,LAN011,C,2.558,2.253,,2
2202,AIE,Artificial Intelligence Engine,300041,James Hall,MAT111,B+,2.558,2.253,REPF,3
2202,AIE,Artificial Intelligence Engine,300041,James Hall,MAT131,D,2.558,2.253,,3
2202,AIE,Artificial Intelligence Engine,300041,James Hall,MGT222,A,2.558,2.253,,2
2203,AIE,Artificial Intelligence Engine,300041,James Hall,CSE015,C+,3.15,2.395,,3
2203,AIE,Artificial Intelligence Engine,300041,James Hall,MAT112,A,3.15,2.395,,3
2211,AIE,Artificial Intelligence Engine,300041,James Hall,AIE111,C+,3.018,2.587,,3
2211,AIE,Artificial Intelligence Engine,300041,James Hall,CSE111,B-,3.018,2.587,,3
2211,AIE,Artificial Intelligence Engine,300041,James Hall,CSE131,B,3.018,2.587,,3
2211,AIE,Artificial Intelligence Engine,300041,James Hall,GEO217,B-,3.018,2.587,,2
2211,AIE,Artificial Intelligence Engine,300041,James Hall,MAT212,A+,3.018,2.587,,3
2211,AIE,Artificial Intelligence Engine,300041,James Hall,MAT231,B+,3.018,2.587,,3
2212,AIE,Artificial Intelligence Engine,300041,James Hall,AIE121,F,2.424,2.549,EXCM,3
2212,AIE,Artificial Intelligence Engine,300041,James Hall,AIE291,B-,2.424,2.549,,2
2212,AIE,Artificial Intelligence Engine,300041,James Hall,CSE112,C-,2.424,2.549,,4
2212,AIE,Artificial Intelligence Engine,300041,James Hall,CSE221,C,2.424,2.549,,3
2212,AIE,Artificial Intelligence Engine,300041,James Hall,CSE251,B+,2.424,2.549,,3
2212,AIE,Artificial Intelligence Engine,300041,James Hall,LAN022,S,2.424,2.549,,0
2212,AIE,Artificial Intelligence Engine,300041,James Hall,LIB116,D,2.424,2.549,,2
2212,AIE,Artificial Intelligence Engine,300041,James Hall,MAT312,A-,2.424,2.549,,3
2212,AIE,Artificial Intelligence Engine,300041,James Hall,PSC101,S,2.424,2.549,,0
2221,AIE,Artificial Intelligence Engine,300041,James Hall,AIE323,D,1.659,2.379,,3
2221,AIE,Artificial Intelligence Engine,300041,James Hall,CSE233,C-,1.659,2.379,,3
2221,AIE,Artificial Intelligence Engine,300041,James Hall,CSE281,C,1.659,2.379,,3
2221,AIE,Artificial Intelligence Engine,300041,James Hall,CSE132,C-,1.659,2.379,,3
2221,AIE,Artificial Intelligence Engine,300041,James Hall,CSE211,D,1.659,2.379,,3
2221,AIE,Artificial Intelligence Engine,300041,James Hall,LAN114,B,1.659,2.379,,2
